"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Tue Dec 13 23:07:08 IST 2022","Tue Dec 13 23:07:08 IST 2022","3","Default Suite","untitled","sanity.GrafanaWebDB","sanity.GrafanaWebDB","test01_loginDBAndVerifyHeader","Test01- Verify Header","This Test loginDB to grafana with BD credentials "
"passed","Mon Dec 26 14:31:35 IST 2022","Mon Dec 26 14:31:38 IST 2022","3668","Web suite","Web Tests","sanity.GrafanaWeb","sanity.GrafanaWeb","test01_verifyHeader","Test01- Verify Header","This Test login and verifies the main header"
"failed","Mon Dec 26 14:31:51 IST 2022","Mon Dec 26 14:31:52 IST 2022","1769","Web suite","Web Tests","sanity.GrafanaWeb","sanity.GrafanaWeb","test06_verifyAvatarIcon","Test06- Verify Avatar Icon","This Test verifies the Avatar Image Using Sikuli tool"
"passed","Thu Dec 22 10:43:10 IST 2022","Thu Dec 22 10:43:18 IST 2022","7948","Web suite","Web Tests","sanity.GrafanaAPI","sanity.GrafanaAPI","test1_VerifyTeam","Test01_Get Team From Grafana","this test is verify team property"
"broken","Sun Dec 18 23:44:19 IST 2022","Sun Dec 18 23:44:19 IST 2022","3","Web suite","Web Tests","sanity.GrafanaWeb","sanity.GrafanaWeb","startSession","startSession",""
"broken","Tue Nov 29 18:16:26 IST 2022","Tue Nov 29 18:16:26 IST 2022","3","Default Suite","untitled","sanity.TodoListElectron","sanity.TodoListElectron","startSession","startSession",""
"broken","Fri Oct 21 10:13:10 IDT 2022","Fri Oct 21 10:13:10 IDT 2022","0","Default Suite","untitled","sanity.GrafanaWeb","sanity.GrafanaWeb","afterTest","afterTest",""
"passed","Mon Nov 21 00:23:58 IST 2022","Mon Nov 21 00:23:58 IST 2022","209","Default Suite","untitled","sanity.GrafanaAPI","sanity.GrafanaAPI","test4_DeleteTeamAndVerify","Test04_Delete Team and Verify","this test Update a team in Grafana and verify it"
"passed","Thu Dec 22 10:43:19 IST 2022","Thu Dec 22 10:43:19 IST 2022","226","Web suite","Web Tests","sanity.GrafanaAPI","sanity.GrafanaAPI","test4_DeleteTeamAndVerify","Test04_Delete Team and Verify","this test Update a team in Grafana and verify it"
"broken","Wed Oct 26 19:05:13 IDT 2022","Wed Oct 26 19:05:17 IDT 2022","3783","Default Suite","untitled","sanity.GrafanaWeb","sanity.GrafanaWeb","test07_SearchUsers","Test07- Search Users","This Test Searched Users in a table using DOT"
"passed","Wed Dec 14 22:41:36 IST 2022","Wed Dec 14 22:41:50 IST 2022","14186","Web suite","Web Tests","sanity.GrafanaWeb","sanity.GrafanaWeb","test07_SearchUsers","Test07- Search Users","This Test Searched Users in a table using DOT"
"passed","Wed Dec 14 22:41:31 IST 2022","Wed Dec 14 22:41:35 IST 2022","3586","Web suite","Web Tests","sanity.GrafanaWeb","sanity.GrafanaWeb","test07_SearchUsers","Test07- Search Users","This Test Searched Users in a table using DOT"
"broken","Fri Nov 11 14:53:48 IST 2022","Fri Nov 11 14:53:48 IST 2022","0","Default Suite","untitled","sanity.MortgageMobile","sanity.MortgageMobile","afterTest","afterTest",""
"passed","Thu Dec 22 10:43:19 IST 2022","Thu Dec 22 10:43:19 IST 2022","163","Web suite","Web Tests","sanity.GrafanaAPI","sanity.GrafanaAPI","test3_UpdateTeamAndVerify","Test03_Update Team and Verify","this test Update a team in Grafana and verify it"
"broken","Thu Dec 15 12:06:24 IST 2022","Thu Dec 15 12:06:24 IST 2022","1","Default Suite","untitled","sanity.GrafanaWeb","sanity.GrafanaWeb","startSession","startSession",""
"failed","Wed Oct 26 19:03:34 IDT 2022","Wed Oct 26 19:03:43 IDT 2022","9469","Default Suite","untitled","sanity.GrafanaWeb","sanity.GrafanaWeb","test07_SearchUsers","Test07- Search Users","This Test Searched Users in a table using DOT"
"skipped","Tue Dec 06 22:02:52 IST 2022","Tue Dec 06 22:02:52 IST 2022","1","Default Suite","untitled","sanity.CalculatorDesktop","sanity.CalculatorDesktop","test01_VerifyAdditionCommand","Test01-Verify Addition Command","This Test Verifies the Addition Command"
"passed","Mon Dec 26 14:31:41 IST 2022","Mon Dec 26 14:31:46 IST 2022","4769","Web suite","Web Tests","sanity.GrafanaWeb","sanity.GrafanaWeb","test03_verifyNewUser","Test03- Verify New Users","This Test  verifies a new user has been Added"
